   40/2999     3.42G   0.04236    0.1183   0.05763    0.2183        68       640    0.3464    0.4105    0.3885    0.1491   0.04304   0.07301   0.05625
   41/2999     3.42G   0.04601    0.1153   0.05743    0.2187        60       640    0.3366    0.5273    0.4085    0.2222   0.03907   0.06611   0.05615
   42/2999     3.42G   0.04544    0.1014   0.05687    0.2037        76       640    0.3414    0.4781    0.4314    0.2284   0.03005   0.06049   0.05585
   43/2999     3.42G   0.04388    0.1148    0.0568    0.2155        53       640    0.2812    0.5729    0.4153    0.2627   0.02974   0.06811   0.05552
   44/2999     3.42G   0.04153    0.1092   0.05679    0.2075        28       640    0.3374    0.5131    0.4336    0.1533   0.05058   0.07173   0.05501
   45/2999     3.42G     0.046   0.09695   0.05613    0.1991        33       640     0.348    0.5314    0.4522     0.243   0.03902   0.06256   0.05449
   46/2999     3.42G   0.04512   0.09642    0.0561    0.1976        33       640    0.3393    0.4697     0.421    0.2427   0.03011   0.05937   0.05493
   47/2999     3.42G   0.03928    0.1095   0.05562    0.2044        33       640    0.3254     0.561    0.4514    0.2171   0.02943   0.07012   0.05456
   48/2999     3.42G   0.03744    0.1077    0.0552    0.2003        46       640    0.3141    0.5369    0.4223    0.1714   0.03683   0.06756   0.05396
   49/2999     3.42G   0.04076    0.1019   0.05477    0.1974        73       640    0.3692    0.5549    0.4773    0.2909   0.03301   0.07177   0.05307
   50/2999     3.42G   0.03687    0.1016   0.05419    0.1927        72       640    0.3124    0.5855    0.4338    0.2359   0.03263     0.059   0.05275
   51/2999     3.42G   0.04023    0.0907   0.05345    0.1844        44       640    0.3729    0.5932    0.5186    0.3211   0.03279   0.05777   0.05181
   52/2999     3.42G   0.04044    0.0927   0.05304    0.1862        65       640    0.3643    0.6478    0.5384    0.3024   0.02938    0.0566   0.05077
   53/2999     3.42G   0.03648    0.0896   0.05156    0.1776        40       640    0.4293    0.4969    0.5287    0.3603   0.03096   0.05582   0.05018
   54/2999     3.42G   0.04173    0.1142   0.05191    0.2079        46       640    0.3257    0.5284    0.4713    0.2688   0.03199    0.0685   0.05051
   55/2999     3.42G   0.03931    0.1316   0.05173    0.2227        33       640     0.329     0.686    0.5007    0.2547    0.0361   0.09433   0.05018
   56/2999     3.42G   0.04102    0.1493   0.05186    0.2421        39       640    0.2902    0.5744    0.3991    0.2061   0.03285   0.08327   0.05121
   57/2999     3.42G   0.04119    0.1197   0.05146    0.2124        42       640    0.3327    0.4828    0.4014    0.1913    0.0407   0.09713   0.05444
   58/2999     3.42G   0.04235    0.1047   0.05041    0.1974        57       640    0.2548     0.641    0.4703    0.2842   0.03361   0.06838   0.05286
   59/2999     3.42G    0.0439   0.09954   0.05028    0.1937        32       640    0.3743    0.5376    0.4572    0.2188   0.03355   0.06544   0.05102
   60/2999     3.42G   0.04533    0.1133   0.05046    0.2091        67       640    0.4207    0.6166    0.5507    0.3515   0.03178   0.06372   0.04932
   61/2999     3.42G   0.04216   0.09473   0.04968    0.1866        28       640     0.401    0.6206    0.5346    0.2624   0.02976   0.06197   0.04755
   62/2999     3.42G    0.0411   0.09509   0.04937    0.1856        63       640    0.3351     0.626    0.4837    0.2445   0.03423   0.06219    0.0466
   63/2999     3.42G   0.04583   0.09807   0.04826    0.1922        36       640    0.3105    0.6112    0.4893    0.2288   0.04047   0.06237   0.04571
   64/2999     3.42G   0.04486    0.1087   0.04813    0.2017        58       640    0.4808    0.5517    0.5478    0.2718   0.03452   0.07076   0.04539
   65/2999     3.42G   0.04279    0.1137   0.04733    0.2038        57       640    0.4124    0.6721    0.6174    0.3547   0.02927   0.06664   0.04476
   66/2999     3.42G   0.03726    0.1123   0.04734    0.1969        52       640    0.4111     0.663    0.5817    0.2773   0.03359   0.06799   0.04433
   67/2999     3.42G   0.03971    0.1107   0.04652    0.1969        46       640    0.4119    0.6779    0.6277    0.4194   0.02995   0.06216   0.04364
   68/2999     3.42G   0.03694    0.1012   0.04579    0.1839        61       640     0.396    0.6873    0.6229    0.3794   0.02836   0.05812   0.04268
   69/2999     3.42G   0.03572    0.0896   0.04496    0.1703        33       640    0.4605    0.6648    0.6048    0.3524   0.02983   0.05669   0.04193
   70/2999     3.42G   0.03812   0.08895   0.04421    0.1713        56       640    0.4699    0.6566    0.5757    0.3309   0.03126   0.05663   0.04151
   71/2999     3.42G   0.03922   0.09276   0.04447    0.1765        57       640     0.442    0.7423    0.6584    0.3832   0.03297   0.05907   0.04094
   72/2999     3.42G   0.03826   0.09562   0.04378    0.1777        38       640    0.4991    0.6959    0.6613    0.4382   0.02673   0.05798   0.04057
   73/2999     3.42G   0.03598   0.09391   0.04261    0.1725        40       640    0.4832    0.7345    0.6875    0.4565   0.02325   0.05811   0.03951
   74/2999     3.42G   0.03433   0.09996   0.04267     0.177        32       640    0.4513    0.8294    0.6845    0.4557   0.02388   0.05654    0.0389
   75/2999     3.42G   0.03391   0.09334   0.04186    0.1691        23       640    0.4495    0.8685    0.6987    0.4504   0.02416   0.05382   0.03831
   76/2999     3.42G   0.03438   0.09117   0.04086    0.1664        54       640    0.4406    0.7938    0.6732    0.4475   0.02853   0.05454   0.03769
   77/2999     3.42G   0.03444   0.08997    0.0404    0.1648        77       640    0.4508     0.804    0.7021    0.4129   0.02671   0.05223   0.03707
   78/2999     3.42G   0.03532   0.08733   0.04007    0.1627        48       640    0.4656    0.8082    0.7043    0.4195   0.02845   0.05307   0.03663
   79/2999     3.42G   0.03665   0.09382   0.03974    0.1702        71       640    0.5269    0.8049    0.7319    0.3812    0.0328   0.05874   0.03648
   80/2999     3.42G   0.03614    0.1054   0.03986    0.1814        98       640    0.5126     0.832    0.7343    0.5102   0.02477   0.05771   0.03606
   81/2999     3.42G   0.03237   0.09758   0.03949    0.1694        58       640    0.5252    0.8411    0.7302     0.539   0.02203   0.05553   0.03542
   82/2999     3.42G   0.03197   0.09474   0.03854    0.1653        52       640    0.4976    0.8624    0.7369     0.503   0.02359    0.0537   0.03475
   83/2999     3.42G   0.03007   0.08629   0.03745    0.1538        59       640    0.5529    0.8202    0.7604    0.5629   0.02008   0.04917    0.0345
   84/2999     3.42G   0.03122   0.07999   0.03787    0.1491        66       640    0.5224    0.7699    0.7166    0.3961   0.02959   0.05417   0.03402
   85/2999     3.42G   0.03476   0.09027   0.03741    0.1624        57       640    0.5713    0.8461    0.7643    0.5663   0.02003   0.04903    0.0337
   86/2999     3.42G    0.0295   0.09112   0.03698    0.1576        69       640    0.5586    0.8279    0.7651    0.5926   0.02174   0.05163   0.03312
   87/2999     3.42G   0.03078   0.09917   0.03632    0.1663        88       640    0.5379    0.8997    0.7758    0.5763   0.02277   0.05297    0.0324
   88/2999     3.42G   0.03009   0.08855   0.03549    0.1541        53       640    0.5463    0.8671    0.7785    0.5173   0.02414   0.05053   0.03175
   89/2999     3.42G   0.03027   0.08125   0.03485    0.1464        35       640    0.5671    0.8539    0.7825    0.6164   0.02078    0.0488    0.0314
